L,H,Tau,P,A,Decreasing
0,0.111111111111111,0.45,0.333333333333333,1.11111111111111,1
0,0.111111111111111,0.45,0.333333333333333,2.22222222222222,1
0,0.111111111111111,0.45,0.333333333333333,3.33333333333333,1
0,0.111111111111111,0.45,0.333333333333333,4.44444444444444,1
0,0.111111111111111,0.45,0.333333333333333,5.55555555555556,1
0,0.111111111111111,0.45,0.333333333333333,6.66666666666667,1
0,0.111111111111111,0.45,0.333333333333333,7.77777777777778,1
0,0.111111111111111,0.45,0.333333333333333,8.88888888888889,1
0,0.111111111111111,0.45,0.333333333333333,10,1
0,0.111111111111111,0.55,0.333333333333333,0,1
0,0.111111111111111,0.55,0.333333333333333,1.11111111111111,1
0,0.111111111111111,0.55,0.333333333333333,2.22222222222222,1
0,0.111111111111111,0.55,0.333333333333333,3.33333333333333,1
0,0.111111111111111,0.55,0.333333333333333,4.44444444444444,1
0,0.111111111111111,0.55,0.333333333333333,5.55555555555556,1
0,0.111111111111111,0.55,0.333333333333333,6.66666666666667,1
0,0.111111111111111,0.55,0.333333333333333,7.77777777777778,1
0,0.111111111111111,0.55,0.333333333333333,8.88888888888889,1
0,0.111111111111111,0.55,0.333333333333333,10,1
0,0.111111111111111,0.65,0.333333333333333,0,1
0,0.111111111111111,0.65,0.333333333333333,1.11111111111111,1
0,0.111111111111111,0.65,0.333333333333333,2.22222222222222,1
0,0.111111111111111,0.65,0.333333333333333,3.33333333333333,1
0,0.111111111111111,0.65,0.333333333333333,4.44444444444444,1
0,0.111111111111111,0.65,0.333333333333333,5.55555555555556,1
0,0.111111111111111,0.65,0.333333333333333,6.66666666666667,1
0,0.111111111111111,0.65,0.333333333333333,7.77777777777778,1
0,0.111111111111111,0.65,0.333333333333333,8.88888888888889,1
0,0.111111111111111,0.65,0.333333333333333,10,1
0,0.111111111111111,0.75,0.333333333333333,0,1
0,0.111111111111111,0.75,0.333333333333333,1.11111111111111,1
0,0.111111111111111,0.75,0.333333333333333,2.22222222222222,1
0,0.111111111111111,0.75,0.333333333333333,3.33333333333333,1
0,0.111111111111111,0.75,0.333333333333333,4.44444444444444,1
0,0.111111111111111,0.75,0.333333333333333,5.55555555555556,1
0,0.111111111111111,0.75,0.333333333333333,6.66666666666667,1
0,0.111111111111111,0.75,0.333333333333333,7.77777777777778,1
0,0.111111111111111,0.75,0.333333333333333,8.88888888888889,1
0,0.111111111111111,0.75,0.333333333333333,10,1
0,0.111111111111111,0.85,0.333333333333333,0,1
0,0.111111111111111,0.85,0.333333333333333,1.11111111111111,1
0,0.111111111111111,0.85,0.333333333333333,2.22222222222222,1
0,0.111111111111111,0.85,0.333333333333333,3.33333333333333,1
0,0.111111111111111,0.85,0.333333333333333,4.44444444444444,1
0,0.111111111111111,0.85,0.333333333333333,5.55555555555556,1
0,0.111111111111111,0.85,0.333333333333333,6.66666666666667,1
0,0.111111111111111,0.85,0.333333333333333,7.77777777777778,1
0,0.111111111111111,0.85,0.333333333333333,8.88888888888889,1
0,0.111111111111111,0.85,0.333333333333333,10,1
0,0.111111111111111,0.95,0.333333333333333,0,1
0,0.111111111111111,0.95,0.333333333333333,1.11111111111111,1
0,0.111111111111111,0.95,0.333333333333333,2.22222222222222,1
0,0.111111111111111,0.95,0.333333333333333,3.33333333333333,1
0,0.111111111111111,0.95,0.333333333333333,4.44444444444444,1
0,0.111111111111111,0.95,0.333333333333333,5.55555555555556,1
0,0.111111111111111,0.95,0.333333333333333,6.66666666666667,1
0,0.111111111111111,0.95,0.333333333333333,7.77777777777778,1
0,0.111111111111111,0.95,0.333333333333333,8.88888888888889,1
0,0.111111111111111,0.95,0.333333333333333,10,1
0,0.111111111111111,0.05,0.5,0,1
0,0.111111111111111,0.05,0.5,1.11111111111111,1
0,0.111111111111111,0.05,0.5,2.22222222222222,1
