L,H,C,Tau,Intercept_mu,Intercept_k,H_bigger_Int,Intercept?
0,0.8,10,0.15,0.761854663491249,0.075712,1,1
0,0.8,10,0.25,0.755532756447792,0.075151,1,1
0,0.8,10,0.35,0.75288662314415,0.074986,1,1
0,0.8,10,0.45,0.749875754117966,0.074566,1,1
0,0.8,10,0.55,0.749035865068436,0.074636,1,1
0,0.8,10,0.65,0.746445506811142,0.07429,1,1
0,0.8,10,0.75,0.743367373943329,0.073957,1,1
0,0.8,10,0.85,0.735110640525818,0.072818,1,1
0,0.8,12,0.05,0.781142875552177,0.064583,1,1
0,0.8,12,0.15,0.759614214301109,0.062977,1,1
0,0.8,12,0.25,0.753533288836479,0.062418,1,1
0,0.8,12,0.35,0.753056898713112,0.062655,1,1
0,0.8,12,0.45,0.751146748661995,0.062488,1,1
0,0.8,12,0.55,0.748175710439682,0.062064,1,1
0,0.8,12,0.65,0.74720373749733,0.062075,1,1
0,0.8,12,0.75,0.744205057621002,0.061756,1,1
0,0.8,12,0.85,0.737671971321106,0.061047,1,1
0,0.8,14,0.05,0.776679359376431,0.055093,1,1
0,0.8,14,0.15,0.756482496857643,0.053638,1,1
0,0.8,14,0.25,0.752468481659889,0.05343,1,1
0,0.8,14,0.35,0.751869216561317,0.053569,1,1
0,0.8,14,0.45,0.751688852906227,0.053704,1,1
0,0.8,14,0.55,0.74991849064827,0.053533,1,1
0,0.8,14,0.65,0.748010188341141,0.05335,1,1
0,0.8,14,0.75,0.745012938976288,0.053041,1,1
0,0.8,14,0.85,0.739573538303375,0.052554,1,1
0,0.8,16,0.05,0.769608341157436,0.047501,1,1
0,0.8,16,0.15,0.755077257752419,0.046846,1,1
0,0.8,16,0.25,0.751591756939888,0.046689,1,1
0,0.8,16,0.35,0.752904370427132,0.047079,1,1
0,0.8,16,0.45,0.748792335391045,0.046567,1,1
0,0.8,16,0.55,0.749566182494164,0.046798,1,1
0,0.8,16,0.65,0.748281985521317,0.046719,1,1
